Title_en,SubTitle_en,CodeFlag,Value,MeaningParameterDescription_en,Note_en,noteIDs,UnitComments_en,Status
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",0,,Net short-wave radiation flux (surface),"(see Note 1)",1,W m-2,Deprecated
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",1,,Net short-wave radiation flux (top of atmosphere),"(see Note 1)",1,W m-2,Deprecated
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",2,,Short-wave radiation flux,"(see Note 1)",1,W m-2,Deprecated
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",3,,Global radiation flux,,,W m-2,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",4,,Brightness temperature,,,K,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",5,,Radiance (with respect to wave number),,,W m-1 sr-1,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",6,,Radiance (with respect to wavelength),,,W m-3 sr-1,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",7,,Downward short-wave radiation flux,,,W m-2,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",8,,Upward short-wave radiation flux,,,W m-2,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",9,,Net short wave radiation flux,,,W m-2,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",10,,Photosynthetically active radiation,,,W m-2,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",11,,"Net short-wave radiation flux, clear sky",,,W m-2,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",12,,Downward UV radiation,,,W m-2,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",13,,Direct short-wave radiation flux,,,W m-2,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",14,,Diffuse short-wave radiation flux,,,W m-2,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",15,,Upward UV radiation emitted/reflected from the Earth's surface,,,W m-2,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",16-49,,Reserved,,,,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",50,,UV index (under clear sky),(see Note 2),24,Numeric,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",51,,UV index,(see Note 2),24,Numeric,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",52,,"Downward short-wave radiation flux, clear sky",,,W m-2,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",53,,"Upward short-wave radiation flux, clear sky",,,W m-2,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",54,,Direct normal short-wave radiation flux,(see Note 3),69,W m-2,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",55-191,,Reserved,,,,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",192-254,,Reserved for local use,,,,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation",255,,Missing,,,,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 5: long-wave radiation",0,,Net long-wave radiation flux (surface),(see Note),1,W m-2,Deprecated
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 5: long-wave radiation",1,,Net long-wave radiation flux (top of atmosphere),(see Note),1,W m-2,Deprecated
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 5: long-wave radiation",2,,Long-wave radiation flux,(see Note),1,W m-2,Deprecated
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 5: long-wave radiation",3,,Downward long-wave radiation flux,,,W m-2,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 5: long-wave radiation",4,,Upward long-wave radiation flux,,,W m-2,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 5: long-wave radiation",5,,Net long-wave radiation flux,,,W m-2,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 5: long-wave radiation",6,,"Net long-wave radiation flux, clear sky",,,W m-2,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 5: long-wave radiation",7,,Brightness temperature,,,K,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 5: long-wave radiation",8,,"Downward long-wave radiation flux, clear sky",,,W m-2,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 5: long-wave radiation",9-191,,Reserved,,,,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 5: long-wave radiation",192-254,,Reserved for local use,,,,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 5: long-wave radiation",255,,Missing,,,,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",0,,Cloud ice,,,kg m-2,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",1,,Total cloud cover,,,%,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",2,,Convective cloud cover,,,%,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",3,,Low cloud cover,,,%,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",4,,Medium cloud cover,,,%,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",5,,High cloud cover,,,%,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",6,,Cloud water,,,kg m-2,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",7,,Cloud amount,,,%,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",8,,Cloud type,,,(Code table 4.203),Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",9,,Thunderstorm maximum tops,,,m,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",10,,Thunderstorm coverage,,,(Code table 4.204),Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",11,,Cloud base,,,m,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",12,,Cloud top,,,m,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",13,,Ceiling,,,m,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",14,,Non-convective cloud cover,,,%,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",15,,Cloud work function,,,J/kg,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",16,,Convective cloud efficiency,,,Proportion,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",17,,Total condensate,(see Note 1),4,kg/kg,Deprecated
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",18,,Total column-integrated cloud water,(see Note 1),4,kg m-2,Deprecated
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",19,,Total column-integrated cloud ice,(see Note 1),4,kg m-2,Deprecated
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",20,,Total column-integrated condensate,(see Note 1),4,kg m-2,Deprecated
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",21,,Ice fraction of total condensate,,,Proportion,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",22,,Cloud cover,,,%,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",23,,Cloud ice mixing ratio,(see Note 1),4,kg/kg,Deprecated
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",24,,Sunshine,,,Numeric,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",25,,Horizontal extent of cumulonimbus (CB),,,%,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",26,,Height of convective cloud base,,,m,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",27,,Height of convective cloud top,,,m,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",28,,Number of cloud droplets per unit mass of air,,,/kg,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",29,,Number of cloud ice particles per unit mass of air,,,/kg,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",30,,Number density of cloud droplets,,,m-3,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",31,,Number density of cloud ice particles,,,m-3,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",32,,Fraction of cloud cover,,,Numeric,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",33,,Sunshine duration,,,s,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",34,,Surface long-wave effective total cloudiness,,,Numeric,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",35,,Surface short-wave effective total cloudiness,,,Numeric,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",36,,Fraction of stratiform precipitation cover,,,Proportion,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",37,,Fraction of convective precipitation cover,,,Proportion,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",38,,Mass density of cloud droplets,,,kg m-3,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",39,,Mass density of cloud ice,,,kg m-3,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",40,,Mass density of convective cloud water droplets,,,kg m-3,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",41-46,,Reserved,,,,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",47,,Volume fraction of cloud water droplets,(see Note 2),11,Numeric,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",48,,Volume fraction of cloud ice particles,(see Note 2),11,Numeric,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",49,,Volume fraction of cloud (ice and/or water),(see Note 2),11,Numeric,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",50,,Fog,(see Note 3),49,%,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",51-191,,Reserved,,,,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",192-254,,Reserved for local use,,,,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 6: cloud",255,,Missing,,,,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 7: thermodynamic stability indices",0,,Parcel lifted index (to 500 hPa),,,K,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 7: thermodynamic stability indices",1,,Best lifted index (to 500 hPa),,,K,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 7: thermodynamic stability indices",2,,K index,,,K,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 7: thermodynamic stability indices",3,,KO index,,,K,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 7: thermodynamic stability indices",4,,Total totals index,,,K,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 7: thermodynamic stability indices",5,,Sweat index,,,Numeric,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 7: thermodynamic stability indices",6,,Convective available potential energy,,,J/kg,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 7: thermodynamic stability indices",7,,Convective inhibition,,,J/kg,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 7: thermodynamic stability indices",8,,Storm relative helicity,,,J/kg,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 7: thermodynamic stability indices",9,,Energy helicity index,,,Numeric,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 7: thermodynamic stability indices",10,,Surface lifted index,,,K,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 7: thermodynamic stability indices",11,,Best (4-layer) lifted index,,,K,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 7: thermodynamic stability indices",12,,Richardson number,,,Numeric,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 7: thermodynamic stability indices",13,,Showalter index,,,K,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 7: thermodynamic stability indices",14,,Reserved,,,,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 7: thermodynamic stability indices",15,,Updraught helicity,,,m2 s-2,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 7: thermodynamic stability indices",16,,Bulk Richardson number,,,Numeric,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 7: thermodynamic stability indices",17,,Gradient Richardson number,,,Numeric,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 7: thermodynamic stability indices",18,,Flux Richardson number,,,Numeric,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 7: thermodynamic stability indices",19,,Convective available potential energy - shear,,,m2 s-2,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 7: thermodynamic stability indices",20,,Thunderstorm intensity index,,,(Code table 4.246),Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 7: thermodynamic stability indices",21-191,,Reserved,,,,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 7: thermodynamic stability indices",192-254,,Reserved for local use,,,,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 7: thermodynamic stability indices",255,,Missing,,,,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 13: aerosols",0,,Aerosol type,,,(Code table 4.205),Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 13: aerosols",1-191,,Reserved,,,,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 13: aerosols",192-254,,Reserved for local use,,,,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 13: aerosols",255,,Missing,,,,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 14: trace gases",0,,Total ozone,,,DU,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 14: trace gases",1,,Ozone mixing ratio,,,kg/kg,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 14: trace gases",2,,Total column integrated ozone,,,DU,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 14: trace gases",3-191,,Reserved,,,,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 14: trace gases",192-254,,Reserved for local use,,,,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 14: trace gases",255,,Missing,,,,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 15: radar",0,,Base spectrum width,,,m/s,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 15: radar",1,,Base reflectivity,,,dB,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 15: radar",2,,Base radial velocity,,,m/s,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 15: radar",3,,Vertically integrated liquid water (VIL),,,kg m-2,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 15: radar",4,,Layer-maximum base reflectivity,,,dB,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 15: radar",5,,Precipitation,,,kg m-2,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 15: radar",6,,Radar spectra (1),,,-,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 15: radar",7,,Radar spectra (2),,,-,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 15: radar",8,,Radar spectra (3),,,-,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 15: radar",9,,Reflectivity of cloud droplets,,,dB,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 15: radar",10,,Reflectivity of cloud ice,,,dB,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 15: radar",11,,Reflectivity of snow,,,dB,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 15: radar",12,,Reflectivity of rain,,,dB,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 15: radar",13,,Reflectivity of graupel,,,dB,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 15: radar",14,,Reflectivity of hail,,,dB,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 15: radar",15,,Hybrid scan reflectivity,,,dB,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 15: radar",16,,Hybrid scan reflectivity height,,,m,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 15: radar",17-191,,Reserved,,,,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 15: radar",192-254,,Reserved for local use,,,,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 15: radar",255,,Missing,,,,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 16: forecast radar imagery",0,,Equivalent radar reflectivity factor for rain,,,mm6 m-3,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 16: forecast radar imagery",1,,Equivalent radar reflectivity factor for snow,,,mm6 m-3,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 16: forecast radar imagery",2,,Equivalent radar reflectivity factor for parameterized convection,,,mm6 m-3,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 16: forecast radar imagery",3,,Echo top,,,m,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 16: forecast radar imagery",4,,Reflectivity,,,dB,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 16: forecast radar imagery",5,,Composite reflectivity,,,dB,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 16: forecast radar imagery",6-191,,Reserved,,,,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 16: forecast radar imagery",192-254,,Reserved for local use,,,,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 16: forecast radar imagery",255,,Missing,,,,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 17: electrodynamics",0,,Lightning strike density,,,m-2 s-1,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 17: electrodynamics",1,,Lightning potential index (LPI),(see Note 1),43,J kg-1,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 17: electrodynamics",2,,Cloud-to-ground lightning flash density,,,km-2 day-1,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 17: electrodynamics",3,,Cloud-to-cloud lightning flash density,,,km-2 day-1,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 17: electrodynamics",4,,Total lightning flash density,(see Note 2),104,km-2 day-1,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 17: electrodynamics",5,,Subgrid-scale lightning potential index,(see Note 3),123,J kg-1,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 18: nuclear/radiology",0,,Air concentration of caesium 137,,,Bq m-3,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 18: nuclear/radiology",1,,Air concentration of iodine 131,,,Bq m-3,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 18: nuclear/radiology",2,,Air concentration of radioactive pollutant,,,Bq m-3,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 18: nuclear/radiology",3,,Ground deposition of caesium 137,,,Bq m-2,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 18: nuclear/radiology",4,,Ground deposition of iodine 131,,,Bq m-2,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 18: nuclear/radiology",5,,Ground deposition of radioactive pollutant,,,Bq m-2,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 18: nuclear/radiology",6,,Time-integrated air concentration of caesium pollutant,"(see Note 1)",10,Bq s m-3,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 18: nuclear/radiology",7,,Time-integrated air concentration of iodine pollutant,"(see Note 1)",10,Bq s m-3,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 18: nuclear/radiology",8,,Time-integrated air concentration of radioactive pollutant,"(see Note 1)",10,Bq s m-3,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 18: nuclear/radiology",9,,Reserved,,,,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 18: nuclear/radiology",10,,Air concentration,(see Note 2),14,Bq m-3,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 18: nuclear/radiology",11,,Wet deposition,,,Bq m-2,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 18: nuclear/radiology",12,,Dry deposition,,,Bq m-2,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 18: nuclear/radiology",13,,Total deposition (wet + dry),,,Bq m-2,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 18: nuclear/radiology",14,,Specific activity concentration,(see Note 2),14,Bq kg-1,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 18: nuclear/radiology",15,,Maximum of air concentration in layer,,,Bq m-3,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 18: nuclear/radiology",16,,Height of maximum air concentration,,,m,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 18: nuclear/radiology",17,,Column-integrated air concentration,,,Bq m-2,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 18: nuclear/radiology",18,,Column-averaged air concentration in layer,,,Bq m-3,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 18: nuclear/radiology",19-191,,Reserved,,,,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 18: nuclear/radiology",192-254,,Reserved for local use,,,,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 18: nuclear/radiology",255,,Missing,,,,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 19: physical atmospheric properties",0,,Visibility,,,m,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 19: physical atmospheric properties",1,,Albedo,,,%,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 19: physical atmospheric properties",2,,Thunderstorm probability,,,%,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 19: physical atmospheric properties",3,,Mixed layer depth,,,m,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 19: physical atmospheric properties",4,,Volcanic ash,,,(Code table 4.206),Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 19: physical atmospheric properties",5,,Icing top,,,m,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 19: physical atmospheric properties",6,,Icing base,,,m,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 19: physical atmospheric properties",7,,Icing,,,(Code table 4.207),Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 19: physical atmospheric properties",8,,Turbulence top,,,m,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 19: physical atmospheric properties",9,,Turbulence base,,,m,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 19: physical atmospheric properties",10,,Turbulence,,,(Code table 4.208),Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 19: physical atmospheric properties",11,,Turbulent kinetic energy,,,J/kg,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 19: physical atmospheric properties",12,,Planetary boundary-layer regime,,,(Code table 4.209),Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 19: physical atmospheric properties",13,,Contrail intensity,,,(Code table 4.210),Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 19: physical atmospheric properties",14,,Contrail engine type,,,(Code table 4.211),Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 19: physical atmospheric properties",15,,Contrail top,,,m,Operational
Parameter number by product discipline and parameter category,"Product discipline 0 - Meteorological products, parameter category 19: physical atmospheric properties",16,,Contrail base,,,m,Operational
